,iata,airport,latitude,longitude
6671,SLC,Salt Lake City International Airport,40.7884,-111.978
7019,ATL,Hartsfield-Jackson Atlanta International Airport,33.6367,-84.4281
7102,FLL,Fort Lauderdale-Hollywood International Airport,26.0726,-80.1527
7103,MIA,Miami International Airport,25.7932,-80.2906
7151,MCO,Orlando International Airport,28.4294,-81.309
7337,MSP,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),44.882,-93.2218
7651,LAX,Los Angeles International Airport,33.9425,-118.40799999999999
7656,LAS,Harry Reid International Airport,36.0801,-115.152
7800,DFW,Dallas/Fort Worth International Airport,32.8968,-97.038
7805,DEN,Denver International Airport,39.8617,-104.67299999999999
7968,CLT,Charlotte Douglas International Airport,35.214,-80.9431
8069,PHL,Philadelphia International Airport,39.8719,-75.2411
8093,PHX,Phoenix Sky Harbor International Airport,33.4343,-112.012
8201,BOS,Logan International Airport,42.3643,-71.0052
8453,IAH,George Bush Intercontinental Airport,29.9844,-95.3414
8524,SAN,San Diego International Airport,32.7336,-117.19
8574,SEA,Seattle-Tacoma International Airport,47.449,-122.309
8591,SFO,San Francisco International Airport,37.619,-122.375
8640,ORD,Chicago O'Hare International Airport,41.9786,-87.9047
8642,BWI,Baltimore/Washington International Airport,39.1753,-76.6683
8643,DTW,Detroit Metro Wayne County Airport,42.2125,-83.3533
8644,EWR,Newark Liberty International Airport,40.6925,-74.1686
8645,JFK,John F. Kennedy International Airport,40.6397,-73.7789
8646,LGA,LaGuardia Airport,40.775,-73.875
8649,DCA,Ronald Reagan Washington National Airport,38.8522,-77.0378
