id,year,month,carrier,carrier_name,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,id-2,country_code,iata,airport,latitude,longitude
0,2020,12,9E,Endeavor Air Inc.,"Atlanta, GA: Hartsfield-Jackson Atlanta International",5985,445,142.89,11.96,161.37,1,127.79,5,0,30756,16390,1509,5060,16,7781,1,US,ATL,Hartsfield-Jackson Atlanta International Airport,33.6367,-84.4281
1,2020,12,9E,Endeavor Air Inc.,"Boston, MA: Logan International",21,3,1,0.71,1.29,0,0,0,0,158,17,81,60,0,0,13,US,BOS,Logan International Airport,42.3643,-71.0052
2,2020,12,9E,Endeavor Air Inc.,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",96,17,8.5,0,5.11,0,3.4,1,0,1064,558,0,200,0,306,19,US,BWI,Baltimore/Washington International Airport,39.1753,-76.6683
3,2020,12,9E,Endeavor Air Inc.,"Charlotte, NC: Charlotte Douglas International",42,1,1,0,0,0,0,0,0,64,64,0,0,0,0,10,US,CLT,Charlotte Douglas International Airport,35.214,-80.9431
4,2020,12,9E,Endeavor Air Inc.,"Washington, DC: Ronald Reagan Washington National",37,1,0,0,0.13,0,0.87,1,0,15,0,0,2,0,13,24,US,DCA,Ronald Reagan Washington National Airport,38.8522,-77.0378
5,2020,12,9E,Endeavor Air Inc.,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",83,8,1.5,0,5.4,0,1.1,0,0,454,134,0,260,0,60,8,US,DFW,Dallas/Fort Worth International Airport,32.8968,-97.038
6,2020,12,9E,Endeavor Air Inc.,"Detroit, MI: Detroit Metro Wayne County",2312,197,53.67,1.92,60.81,0,80.6,13,4,16873,8216,196,1879,0,6582,20,US,DTW,Detroit Metro Wayne County Airport,42.2125,-83.3533
7,2020,12,9E,Endeavor Air Inc.,"Newark, NJ: Newark Liberty International",175,23,12.71,1.9,8.15,0,0.23,5,0,1684,1216,131,313,0,24,21,US,EWR,Newark Liberty International Airport,40.6925,-74.1686
8,2020,12,9E,Endeavor Air Inc.,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",53,5,1.96,0,3,0,0.04,0,0,641,417,0,211,0,13,2,US,FLL,Fort Lauderdale-Hollywood International Airport,26.0726,-80.1527
9,2020,12,9E,Endeavor Air Inc.,"New York, NY: John F. Kennedy International",269,31,9.92,1.27,12.77,0,7.04,10,0,1759,715,64,439,0,541,22,US,JFK,John F. Kennedy International Airport,40.6397,-73.7789
10,2020,12,9E,Endeavor Air Inc.,"New York, NY: LaGuardia",55,5,1,0.68,3.08,0,0.24,1,0,314,32,61,185,0,36,23,US,LGA,LaGuardia Airport,40.775,-73.875
11,2020,12,9E,Endeavor Air Inc.,"Orlando, FL: Orlando International",62,7,4.77,0,0.86,0,1.37,0,0,757,588,0,40,0,129,4,US,MCO,Orlando International Airport,28.4294,-81.309
12,2020,12,9E,Endeavor Air Inc.,"Miami, FL: Miami International",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,US,MIA,Miami International Airport,25.7932,-80.2906
13,2020,12,9E,Endeavor Air Inc.,"Minneapolis, MN: Minneapolis-St Paul International",2244,217,52.01,13.97,78.34,0,72.68,59,1,19895,8074,2922,4085,0,4814,5,US,MSP,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),44.882,-93.2218
14,2020,12,9E,Endeavor Air Inc.,"Chicago, IL: Chicago O'Hare International",72,4,0,0,4,0,0,1,0,98,0,0,98,0,0,18,US,ORD,Chicago O'Hare International Airport,41.9786,-87.9047
15,2020,12,9E,Endeavor Air Inc.,"Philadelphia, PA: Philadelphia International",158,19,4.63,0.01,10.44,0,3.93,2,1,1274,405,1,483,0,385,11,US,PHL,Philadelphia International Airport,39.8719,-75.2411
16,2020,12,AA,American Airlines Inc.,"Atlanta, GA: Hartsfield-Jackson Atlanta International",373,35,21.15,0,8.1,1,4.75,2,0,2168,1404,0,462,51,251,1,US,ATL,Hartsfield-Jackson Atlanta International Airport,33.6367,-84.4281
17,2020,12,AA,American Airlines Inc.,"Boston, MA: Logan International",711,72,27.9,8.74,26.48,0,8.88,14,1,7217,1079,3241,2268,0,629,13,US,BOS,Logan International Airport,42.3643,-71.0052
18,2020,12,AA,American Airlines Inc.,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",240,28,12.76,0,10.08,0,5.17,1,1,1884,1220,0,339,0,325,19,US,BWI,Baltimore/Washington International Airport,39.1753,-76.6683
19,2020,12,AA,American Airlines Inc.,"Charlotte, NC: Charlotte Douglas International",5008,388,151.42,9.87,146.03,1.59,79.08,19,1,30305,13168,3377,4672,42,9046,10,US,CLT,Charlotte Douglas International Airport,35.214,-80.9431
20,2020,12,AA,American Airlines Inc.,"Washington, DC: Ronald Reagan Washington National",788,54,23.92,1.39,16.93,0,11.76,4,0,2442,1106,110,537,0,689,24,US,DCA,Ronald Reagan Washington National Airport,38.8522,-77.0378
21,2020,12,AA,American Airlines Inc.,"Denver, CO: Denver International",588,82,36.97,1.41,32.87,0,10.75,2,0,3691,1698,89,1237,0,667,9,US,DEN,Denver International Airport,39.8617,-104.673
22,2020,12,AA,American Airlines Inc.,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",7959,1178,279.77,29.74,626.41,2.95,239.13,53,31,79138,28264,4729,24532,141,21472,8,US,DFW,Dallas/Fort Worth International Airport,32.8968,-97.038
23,2020,12,AA,American Airlines Inc.,"Detroit, MI: Detroit Metro Wayne County",146,23,9.07,0.53,7.27,0,6.14,1,0,1164,482,10,312,0,360,20,US,DTW,Detroit Metro Wayne County Airport,42.2125,-83.3533
24,2020,12,AA,American Airlines Inc.,"Newark, NJ: Newark Liberty International",267,19,11.28,1,3.61,0,3.11,5,0,1618,792,573,63,0,190,21,US,EWR,Newark Liberty International Airport,40.6925,-74.1686
25,2020,12,AA,American Airlines Inc.,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",478,53,24.77,0.33,20.54,0,7.36,0,0,2452,1118,13,847,0,474,2,US,FLL,Fort Lauderdale-Hollywood International Airport,26.0726,-80.1527
26,2020,12,AA,American Airlines Inc.,"Houston, TX: George Bush Intercontinental/Houston",195,38,19.21,0,13.81,0,4.99,1,0,1999,1461,0,376,0,162,14,US,IAH,George Bush Intercontinental Airport,29.9844,-95.3414
27,2020,12,AA,American Airlines Inc.,"New York, NY: John F. Kennedy International",336,35,20.81,1.86,10.39,0,1.93,7,0,3638,2110,568,391,0,569,22,US,JFK,John F. Kennedy International Airport,40.6397,-73.7789
28,2020,12,AA,American Airlines Inc.,"Las Vegas, NV: McCarran International",714,73,36.26,0.23,26.47,0.18,9.86,3,0,3653,2272,5,864,11,501,7,US,LAS,Harry Reid International Airport,36.0801,-115.152
29,2020,12,AA,American Airlines Inc.,"Los Angeles, CA: Los Angeles International",1287,114,55.48,3.22,40.74,1.87,12.69,10,1,7535,4354,345,1534,77,1225,6,US,LAX,Los Angeles International Airport,33.9425,-118.408
30,2020,12,AA,American Airlines Inc.,"New York, NY: LaGuardia",554,42,19.7,0.48,15.53,0.05,6.23,15,0,2614,1416,28,653,1,516,23,US,LGA,LaGuardia Airport,40.775,-73.875
31,2020,12,AA,American Airlines Inc.,"Orlando, FL: Orlando International",879,91,56.95,1.83,21.95,0,10.27,3,1,3982,2659,33,870,0,420,4,US,MCO,Orlando International Airport,28.4294,-81.309
32,2020,12,AA,American Airlines Inc.,"Miami, FL: Miami International",2415,233,119.46,7.96,88,3,14.58,12,1,15089,8313,311,3123,81,3261,3,US,MIA,Miami International Airport,25.7932,-80.2906
33,2020,12,AA,American Airlines Inc.,"Minneapolis, MN: Minneapolis-St Paul International",208,28,13.43,0.44,6.67,0,7.46,1,0,1024,433,49,248,0,294,5,US,MSP,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),44.882,-93.2218
