year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2018,12,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",54.00,12.00,7.11,0.00,1.72,0.00,3.17,0.00,1.00,755.00,460.00,0.00,34.00,0.00,261.00
2018,12,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",109.00,20.00,8.24,4.51,3.41,0.00,3.85,2.00,1.00,2265.00,571.00,1153.00,164.00,0.00,377.00
2018,12,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",144.00,36.00,16.60,4.28,3.24,0.00,11.87,0.00,0.00,3490.00,1342.00,868.00,199.00,0.00,1081.00
2018,12,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",4.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018,12,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3144.00,588.00,101.09,22.44,134.91,1.00,328.56,23.00,3.00,52771.00,12709.00,3309.00,5374.00,105.00,31274.00
2018,12,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",59.00,6.00,1.51,0.74,3.60,0.00,0.15,0.00,0.00,314.00,68.00,51.00,189.00,0.00,6.00
2018,12,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",35.00,6.00,1.02,0.00,2.78,0.00,2.20,0.00,1.00,398.00,107.00,0.00,100.00,0.00,191.00
2018,12,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",40.00,12.00,3.80,0.41,1.12,0.00,6.67,2.00,0.00,688.00,198.00,20.00,65.00,0.00,405.00
2018,12,9E,Endeavor Air Inc.,AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",61.00,5.00,1.00,1.00,1.00,0.00,2.00,0.00,0.00,861.00,94.00,677.00,40.00,0.00,50.00
2018,12,9E,Endeavor Air Inc.,BDL,"Hartford, CT: Bradley International",95.00,14.00,5.40,0.36,4.34,0.00,3.90,0.00,0.00,793.00,416.00,9.00,105.00,0.00,263.00
