,year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
0,2018,12,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3144.0,588.0,101.09,22.44,134.91,1.0,328.56,23.0,3.0,52771.0,12709.0,3309.0,5374.0,105.0,31274.0
1,2018,12,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",445.0,79.0,11.29,1.0,30.32,0.0,36.39,0.0,1.0,5957.0,834.0,73.0,1526.0,0.0,3524.0
2,2018,12,9E,Endeavor Air Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",199.0,48.0,16.28,2.32,15.99,0.0,13.41,3.0,1.0,3426.0,1306.0,170.0,775.0,0.0,1175.0
3,2018,12,9E,Endeavor Air Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",174.0,27.0,10.84,0.91,6.24,0.0,9.02,0.0,0.0,1610.0,698.0,30.0,166.0,0.0,716.0
4,2018,12,9E,Endeavor Air Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",136.0,16.0,5.78,0.0,3.76,0.0,6.46,0.0,0.0,1683.0,369.0,0.0,410.0,0.0,904.0
5,2018,12,9E,Endeavor Air Inc.,DEN,"Denver, CO: Denver International",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2018,12,9E,Endeavor Air Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",155.0,15.0,8.25,0.0,3.21,0.0,3.54,1.0,5.0,864.0,586.0,0.0,98.0,0.0,180.0
7,2018,12,9E,Endeavor Air Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",1687.0,140.0,46.45,3.29,29.87,0.04,60.36,6.0,0.0,12717.0,4465.0,604.0,897.0,10.0,6741.0
8,2018,12,9E,Endeavor Air Inc.,EWR,"Newark, NJ: Newark Liberty International",138.0,36.0,4.33,0.0,29.49,0.0,2.18,0.0,0.0,2441.0,149.0,0.0,2021.0,0.0,271.0
9,2018,12,9E,Endeavor Air Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",21.0,6.0,2.56,0.0,3.11,0.0,0.33,2.0,0.0,581.0,486.0,0.0,89.0,0.0,6.0
10,2018,12,9E,Endeavor Air Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",139.0,14.0,8.76,0.0,2.85,0.0,2.38,0.0,1.0,1006.0,681.0,0.0,240.0,0.0,85.0
11,2018,12,9E,Endeavor Air Inc.,JFK,"New York, NY: John F. Kennedy International",1406.0,223.0,40.75,6.14,113.16,0.0,62.95,9.0,4.0,23039.0,4067.0,1284.0,10959.0,0.0,6729.0
