,year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
0,2020,12,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",5985.0,445.0,142.89,11.96,161.37,1.0,127.79,5.0,0.0,30756.0,16390.0,1509.0,5060.0,16.0,7781.0
1,2020,12,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",21.0,3.0,1.0,0.71,1.29,0.0,0.0,0.0,0.0,158.0,17.0,81.0,60.0,0.0,0.0
2,2020,12,9E,Endeavor Air Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",96.0,17.0,8.5,0.0,5.11,0.0,3.4,1.0,0.0,1064.0,558.0,0.0,200.0,0.0,306.0
3,2020,12,9E,Endeavor Air Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",42.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,0.0,0.0,0.0,0.0
4,2020,12,9E,Endeavor Air Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",37.0,1.0,0.0,0.0,0.13,0.0,0.87,1.0,0.0,15.0,0.0,0.0,2.0,0.0,13.0
5,2020,12,9E,Endeavor Air Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",83.0,8.0,1.5,0.0,5.4,0.0,1.1,0.0,0.0,454.0,134.0,0.0,260.0,0.0,60.0
6,2020,12,9E,Endeavor Air Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",2312.0,197.0,53.67,1.92,60.81,0.0,80.6,13.0,4.0,16873.0,8216.0,196.0,1879.0,0.0,6582.0
7,2020,12,9E,Endeavor Air Inc.,EWR,"Newark, NJ: Newark Liberty International",175.0,23.0,12.71,1.9,8.15,0.0,0.23,5.0,0.0,1684.0,1216.0,131.0,313.0,0.0,24.0
8,2020,12,9E,Endeavor Air Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",53.0,5.0,1.96,0.0,3.0,0.0,0.04,0.0,0.0,641.0,417.0,0.0,211.0,0.0,13.0
9,2020,12,9E,Endeavor Air Inc.,JFK,"New York, NY: John F. Kennedy International",269.0,31.0,9.92,1.27,12.77,0.0,7.04,10.0,0.0,1759.0,715.0,64.0,439.0,0.0,541.0
10,2020,12,9E,Endeavor Air Inc.,LGA,"New York, NY: LaGuardia",55.0,5.0,1.0,0.68,3.08,0.0,0.24,1.0,0.0,314.0,32.0,61.0,185.0,0.0,36.0
11,2020,12,9E,Endeavor Air Inc.,MCO,"Orlando, FL: Orlando International",62.0,7.0,4.77,0.0,0.86,0.0,1.37,0.0,0.0,757.0,588.0,0.0,40.0,0.0,129.0
12,2020,12,9E,Endeavor Air Inc.,MIA,"Miami, FL: Miami International",4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020,12,9E,Endeavor Air Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",2244.0,217.0,52.01,13.97,78.34,0.0,72.68,59.0,1.0,19895.0,8074.0,2922.0,4085.0,0.0,4814.0
14,2020,12,9E,Endeavor Air Inc.,ORD,"Chicago, IL: Chicago O'Hare International",72.0,4.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,98.0,0.0,0.0,98.0,0.0,0.0
15,2020,12,9E,Endeavor Air Inc.,PHL,"Philadelphia, PA: Philadelphia International",158.0,19.0,4.63,0.01,10.44,0.0,3.93,2.0,1.0,1274.0,405.0,1.0,483.0,0.0,385.0
16,2020,12,AA,American Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",373.0,35.0,21.15,0.0,8.1,1.0,4.75,2.0,0.0,2168.0,1404.0,0.0,462.0,51.0,251.0
17,2020,12,AA,American Airlines Inc.,BOS,"Boston, MA: Logan International",711.0,72.0,27.9,8.74,26.48,0.0,8.88,14.0,1.0,7217.0,1079.0,3241.0,2268.0,0.0,629.0
18,2020,12,AA,American Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",240.0,28.0,12.76,0.0,10.08,0.0,5.17,1.0,1.0,1884.0,1220.0,0.0,339.0,0.0,325.0
19,2020,12,AA,American Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",5008.0,388.0,151.42,9.87,146.03,1.59,79.08,19.0,1.0,30305.0,13168.0,3377.0,4672.0,42.0,9046.0
20,2020,12,AA,American Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",788.0,54.0,23.92,1.39,16.93,0.0,11.76,4.0,0.0,2442.0,1106.0,110.0,537.0,0.0,689.0
21,2020,12,AA,American Airlines Inc.,DEN,"Denver, CO: Denver International",588.0,82.0,36.97,1.41,32.87,0.0,10.75,2.0,0.0,3691.0,1698.0,89.0,1237.0,0.0,667.0
22,2020,12,AA,American Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",7959.0,1178.0,279.77,29.74,626.41,2.95,239.13,53.0,31.0,79138.0,28264.0,4729.0,24532.0,141.0,21472.0
23,2020,12,AA,American Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",146.0,23.0,9.07,0.53,7.27,0.0,6.14,1.0,0.0,1164.0,482.0,10.0,312.0,0.0,360.0
24,2020,12,AA,American Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",267.0,19.0,11.28,1.0,3.61,0.0,3.11,5.0,0.0,1618.0,792.0,573.0,63.0,0.0,190.0
25,2020,12,AA,American Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",478.0,53.0,24.77,0.33,20.54,0.0,7.36,0.0,0.0,2452.0,1118.0,13.0,847.0,0.0,474.0
26,2020,12,AA,American Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",195.0,38.0,19.21,0.0,13.81,0.0,4.99,1.0,0.0,1999.0,1461.0,0.0,376.0,0.0,162.0
27,2020,12,AA,American Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",336.0,35.0,20.81,1.86,10.39,0.0,1.93,7.0,0.0,3638.0,2110.0,568.0,391.0,0.0,569.0
28,2020,12,AA,American Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",714.0,73.0,36.26,0.23,26.47,0.18,9.86,3.0,0.0,3653.0,2272.0,5.0,864.0,11.0,501.0
29,2020,12,AA,American Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",1287.0,114.0,55.48,3.22,40.74,1.87,12.69,10.0,1.0,7535.0,4354.0,345.0,1534.0,77.0,1225.0
30,2020,12,AA,American Airlines Inc.,LGA,"New York, NY: LaGuardia",554.0,42.0,19.7,0.48,15.53,0.05,6.23,15.0,0.0,2614.0,1416.0,28.0,653.0,1.0,516.0
31,2020,12,AA,American Airlines Inc.,MCO,"Orlando, FL: Orlando International",879.0,91.0,56.95,1.83,21.95,0.0,10.27,3.0,1.0,3982.0,2659.0,33.0,870.0,0.0,420.0
32,2020,12,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",2415.0,233.0,119.46,7.96,88.0,3.0,14.58,12.0,1.0,15089.0,8313.0,311.0,3123.0,81.0,3261.0
33,2020,12,AA,American Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",208.0,28.0,13.43,0.44,6.67,0.0,7.46,1.0,0.0,1024.0,433.0,49.0,248.0,0.0,294.0
34,2020,12,AA,American Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",1967.0,177.0,66.23,4.65,75.9,0.0,30.22,4.0,1.0,15326.0,9245.0,382.0,2749.0,0.0,2950.0
35,2020,12,AA,American Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International",1551.0,161.0,66.44,2.52,60.76,1.51,29.77,2.0,1.0,12126.0,6520.0,124.0,1903.0,42.0,3537.0
36,2020,12,AA,American Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2419.0,228.0,93.73,8.22,99.08,0.26,26.72,8.0,0.0,16779.0,8773.0,1396.0,2829.0,8.0,3773.0
37,2020,12,AA,American Airlines Inc.,SAN,"San Diego, CA: San Diego International",434.0,54.0,19.78,0.0,24.58,0.0,9.64,1.0,2.0,1987.0,834.0,0.0,772.0,0.0,381.0
38,2020,12,AA,American Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",337.0,34.0,13.72,0.0,11.3,0.0,8.98,0.0,0.0,1872.0,722.0,0.0,525.0,0.0,625.0
39,2020,12,AA,American Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",443.0,37.0,12.81,0.61,19.26,0.33,3.99,2.0,0.0,1665.0,564.0,70.0,764.0,11.0,256.0
40,2020,12,AA,American Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",223.0,29.0,12.07,0.0,13.84,0.0,3.1,0.0,0.0,1130.0,496.0,0.0,367.0,0.0,267.0
41,2020,12,AS,Alaska Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",31.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,52.0,0.0,0.0
42,2020,12,AS,Alaska Airlines Inc.,BOS,"Boston, MA: Logan International",60.0,7.0,0.0,0.29,6.71,0.0,0.0,1.0,0.0,217.0,0.0,22.0,195.0,0.0,0.0
43,2020,12,AS,Alaska Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",31.0,3.0,1.97,0.0,1.03,0.0,0.0,1.0,0.0,139.0,122.0,0.0,17.0,0.0,0.0
44,2020,12,AS,Alaska Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",62.0,4.0,2.43,0.0,1.57,0.0,0.0,2.0,0.0,207.0,149.0,0.0,58.0,0.0,0.0
45,2020,12,AS,Alaska Airlines Inc.,DEN,"Denver, CO: Denver International",115.0,13.0,2.0,0.14,9.31,0.0,1.55,0.0,0.0,526.0,159.0,12.0,298.0,0.0,57.0
46,2020,12,AS,Alaska Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",110.0,9.0,2.45,0.25,6.3,0.0,0.0,0.0,0.0,449.0,122.0,18.0,309.0,0.0,0.0
47,2020,12,AS,Alaska Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",26.0,3.0,2.0,0.0,0.53,0.0,0.47,0.0,0.0,99.0,65.0,0.0,18.0,0.0,16.0
48,2020,12,AS,Alaska Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",79.0,2.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,45.0,0.0,0.0,20.0,0.0,25.0
49,2020,12,AS,Alaska Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",145.0,11.0,6.68,0.0,4.32,0.0,0.0,0.0,1.0,479.0,373.0,0.0,106.0,0.0,0.0
50,2020,12,AS,Alaska Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",31.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,24.0
51,2020,12,AS,Alaska Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",55.0,4.0,0.0,0.0,3.13,0.0,0.88,2.0,0.0,143.0,0.0,0.0,122.0,0.0,21.0
52,2020,12,AS,Alaska Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",283.0,14.0,9.01,0.51,4.48,0.0,0.0,0.0,0.0,662.0,442.0,37.0,183.0,0.0,0.0
53,2020,12,AS,Alaska Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",500.0,21.0,9.38,1.54,7.08,0.0,3.0,4.0,0.0,1016.0,506.0,113.0,259.0,0.0,138.0
54,2020,12,AS,Alaska Airlines Inc.,MCO,"Orlando, FL: Orlando International",130.0,8.0,3.84,0.0,3.16,0.0,1.0,1.0,0.0,327.0,149.0,0.0,76.0,0.0,102.0
