,country_code,iata,airport,latitude,longitude
6671,US,SLC,Salt Lake City International Airport,40.7884,-111.978
7019,US,ATL,Hartsfield-Jackson Atlanta International Airport,33.6367,-84.4281
7102,US,FLL,Fort Lauderdale-Hollywood International Airport,26.0726,-80.1527
7103,US,MIA,Miami International Airport,25.7932,-80.2906
7151,US,MCO,Orlando International Airport,28.4294,-81.309
7337,US,MSP,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),44.882,-93.2218
7651,US,LAX,Los Angeles International Airport,33.9425,-118.40799999999999
7656,US,LAS,Harry Reid International Airport,36.0801,-115.152
7800,US,DFW,Dallas/Fort Worth International Airport,32.8968,-97.038
7805,US,DEN,Denver International Airport,39.8617,-104.67299999999999
7968,US,CLT,Charlotte Douglas International Airport,35.214,-80.9431
8069,US,PHL,Philadelphia International Airport,39.8719,-75.2411
8093,US,PHX,Phoenix Sky Harbor International Airport,33.4343,-112.012
8201,US,BOS,Logan International Airport,42.3643,-71.0052
8453,US,IAH,George Bush Intercontinental Airport,29.9844,-95.3414
8524,US,SAN,San Diego International Airport,32.7336,-117.19
8574,US,SEA,Seattle-Tacoma International Airport,47.449,-122.309
8591,US,SFO,San Francisco International Airport,37.619,-122.375
8640,US,ORD,Chicago O'Hare International Airport,41.9786,-87.9047
8642,US,BWI,Baltimore/Washington International Airport,39.1753,-76.6683
8643,US,DTW,Detroit Metro Wayne County Airport,42.2125,-83.3533
8644,US,EWR,Newark Liberty International Airport,40.6925,-74.1686
8645,US,JFK,John F. Kennedy International Airport,40.6397,-73.7789
8646,US,LGA,LaGuardia Airport,40.775,-73.875
8649,US,DCA,Ronald Reagan Washington National Airport,38.8522,-77.0378
